Code,Item,Group,Region_Number,Region_Name,State_Name,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Average_Annual_Percent_Growth
1,Medicaid/Personal Health Care (Millions of Dollars),United States,0,United States,,24697.44,28795.026,30418.284,33485.608,36180.827,38761.128,43019.056,47719.263,52173.067,58651.105,69693.318,88921.163,103417.299,116453.383,126856.005,136249.692,144510.192,151350.767,158334.684,171215.828,186940.921,208543.372,230091.775,249787.634,271167.541,287731.452,283652.029,302508.804,316475.866,345669.14,9.5
1,Medicaid/Personal Health Care (Millions of Dollars),Region,1,New England,,1839.848,2034.845,2211.77,2478.485,2601.064,2787.807,3031.802,3393.525,3826.421,4593.036,5589.29,6675.943,7418.436,7768.445,8896.118,9917.149,9893.029,11034.839,11792.822,12510.895,13196.719,14336.666,15918.779,16234.251,17835.365,18906.382,18493.906,19757.374,21028.777,23236.957,9.1
1,Medicaid/Personal Health Care (Millions of Dollars),State,1,New England,Connecticut,318.109,369.556,419.943,480.903,543.762,581.035,665.927,744.984,831.602,1012.685,1215.551,1663.102,1722.323,1882.047,2168.977,2467.187,2537.589,2813.118,2840.201,3002.467,3138.089,3218.087,3558.423,3441.6,3897.66,3918.376,4038.962,4139.691,4724.978,5510.686,10.3
1,Medicaid/Personal Health Care (Millions of Dollars),State,1,New England,Maine,140.55,154.587,171.99,194.093,212.645,232.8,257.733,294.395,317.326,354.2,411.782,520.596,632.279,749.761,801.329,821.742,893.028,976.805,1116.671,1141.304,1198.91,1320.86,1498.369,1790.335,1981.598,2032.211,2020.934,2019.267,2123.212,2447.043,10.4
1,Medicaid/Personal Health Care (Millions of Dollars),State,1,New England,Massachusetts,1097.564,1177.102,1264.669,1413.265,1412.816,1517.502,1607.277,1806.357,2065.882,2541.479,3146.256,3462.685,3747.025,3724.36,4418.295,4963.423,4800.348,5336.49,5788.215,6167.731,6517.795,7112.858,7968.644,7988.343,8408.357,9318.222,8795.902,9838.512,10284.397,11102.456,8.3
1,Medicaid/Personal Health Care (Millions of Dollars),State,1,New England,New Hampshire,64.708,74.777,77.035,87.411,103.319,111.851,124.314,136.074,157.088,177.523,208.472,283.423,372.361,441.595,509.536,583.487,595.882,634.772,729.696,735.887,813.499,832.337,911.281,953.486,1157.001,1130.076,1092.842,1184.599,1215.577,1321.403,11
1,Medicaid/Personal Health Care (Millions of Dollars),State,1,New England,Rhode Island,157.047,186.214,200,223.383,245.821,261.094,286.722,313.181,347.22,381.673,452.784,539.913,723.747,736.069,734.337,786.431,748.052,925.676,930.822,1018.207,1016.915,1270.178,1339.534,1357.537,1616.632,1651.292,1652.392,1577.733,1710.918,1785.71,8.7
1,Medicaid/Personal Health Care (Millions of Dollars),State,1,New England,Vermont,61.87,72.61,78.133,79.43,82.702,83.525,89.83,98.534,107.302,125.475,154.445,206.222,220.701,234.613,263.644,294.879,318.132,347.978,387.217,445.299,511.511,582.346,642.528,702.95,774.117,856.204,892.875,997.571,969.695,1069.66,10.3
1,Medicaid/Personal Health Care (Millions of Dollars),Region,2,Mideast,,7419.398,8600.377,9262.435,10197.625,11066,11878.734,13233.543,14445.814,15559.229,17058.266,19627.679,24821.195,28301.528,30978.819,33775.501,36246.141,39009.599,40092.489,42251.122,45603.989,49106.365,51647.648,57687.463,63203.136,67040.431,71111.794,71626.375,73684.234,76089.131,81191.836,8.6
1,Medicaid/Personal Health Care (Millions of Dollars),State,2,Mideast,Delaware,47.853,57.131,59.252,63.903,69.1,71.726,83.59,94.957,103.081,112.8,135.916,199.845,226.835,257.183,287.826,337.48,392.489,364.109,422.036,432.205,508.419,558.115,602.665,678.177,758.88,811.373,882.749,940.227,1034.626,1105.698,11.4
1,Medicaid/Personal Health Care (Millions of Dollars),State,2,Mideast,District of Columbia,166.324,165.133,195.139,255.914,303.264,299.685,327.661,374.179,377.589,358.461,401.91,530.446,583.457,676.124,744.62,716.71,731.035,800.97,853.313,809.158,885.231,862.255,969.758,1015.512,1157.523,1210.211,1209.331,1330.881,1422.139,1576.931,8.1
1,Medicaid/Personal Health Care (Millions of Dollars),State,2,Mideast,Maryland,436.539,477.774,493.15,558.75,597.452,611.799,740.932,810.83,901.969,976.477,1137.994,1516.343,1738.27,1874.859,2074.169,2195.935,2304.644,2387.364,2452.294,2813.367,2853.18,3136.859,3449.178,4251.024,4547.063,4828.814,4804,5067.119,5261.432,6084.4,9.5
1,Medicaid/Personal Health Care (Millions of Dollars),State,2,Mideast,New Jersey,777.323,870.222,914.755,1027.099,1112.262,1185.369,1359.078,1606.117,1759.068,1967.261,2329.571,2960.691,3284.668,3742.72,4130.443,4473.777,4697.161,4942.807,4912.156,5097.478,5406.801,5583.297,6206.076,6796.28,7177.195,8406.923,8732.844,8423.418,8885.245,9184.806,8.9
1,Medicaid/Personal Health Care (Millions of Dollars),State,2,Mideast,New York,4621.006,5418.205,5826.525,6410.026,7083.135,7734.943,8524.482,9249.037,9914.706,10945.398,12649.929,15985.369,17650.871,19472.47,20863.171,22349.467,23935.772,23726.153,25903.702,27480.807,29389.496,30975.733,35168.469,38447.169,40293.439,40966.821,42245.95,43354.276,44476.707,47557.147,8.4
1,Medicaid/Personal Health Care (Millions of Dollars),State,2,Mideast,Pennsylvania,1370.353,1611.912,1773.614,1881.934,1900.787,1975.211,2197.801,2310.693,2502.815,2697.867,2972.358,3628.5,4817.427,4955.462,5675.271,6172.771,6948.499,7871.086,7707.622,8970.974,10063.239,10531.389,11291.317,12014.975,13106.331,14887.652,13751.501,14568.311,15008.983,15682.855,8.8
1,Medicaid/Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,4434.133,5213.885,5403.28,5932.718,6615.912,6800.718,7499.508,8150.733,8637.565,9601.012,11159.628,13820.207,16525.076,18627.186,19491.813,20501.735,21889.09,23159.336,22563.224,24664.878,26923.814,29993.184,32310.804,34794.51,37005.478,40177.158,37800.137,41839.018,43300.252,49253.162,8.7
1,Medicaid/Personal Health Care (Millions of Dollars),State,3,Great Lakes,Illinois,1310.542,1487.624,1428.738,1535.529,1751.808,1699.023,1726.312,1826.499,1980.69,2188.557,2406.822,2946.983,4223.127,4929.438,5236.342,5702.501,6259.707,6307.043,6293.039,6289.648,7208.265,7510.654,8588.825,9317.01,9617.762,11042.416,9630.821,11636.285,11593.383,13828.467,8.5
1,Medicaid/Personal Health Care (Millions of Dollars),State,3,Great Lakes,Indiana,359.033,428.982,479.388,534.502,612.131,692.724,806.344,889.056,1022.264,1191.457,1472.471,1944.293,2366.581,2759.413,2534.866,2310.988,2517.621,2365.043,2593.968,2907.713,3419.452,3783.622,4066.451,3988.066,4764.759,5253.526,4777.556,5209.253,5918.069,5827.644,10.1
