Code,Item,Group,Region_Number,Region_Name,State_Name,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Average_Annual_Percent_Growth
1,Medicare/Personal Health Care (Millions of Dollars),United States,0,United States,,36259.82,43456.945,51060.183,58116.255,64598.72,69794.575,74768.55,80951.351,86404.384,98276.577,107265.995,117280.624,132367.853,146234.607,163430.257,179858.499,193571.474,204202.841,202351.234,205674.163,215863.561,238781.208,256001.606,273772.734,300246.723,326375.409,381722.032,407429.669,440758.212,471259.678,9.2
1,Medicare/Personal Health Care (Millions of Dollars),Region,1,New England,,2199.943,2626.579,3007.777,3389.151,3798.917,4115.43,4251.592,4500.737,4782.913,5512.817,6077.27,6870.924,7797.447,8717.013,9620.091,10684.855,11560.817,11994.881,11680.634,11770.153,12361.725,13597.543,14310.559,15154.264,16517.037,17533.295,20460.805,21876.514,23388.13,24882.511,8.7
1,Medicare/Personal Health Care (Millions of Dollars),State,1,New England,Connecticut,514.638,607.05,700.685,798.665,895.574,930.4,969.808,1021.3,1161.914,1370.415,1528.76,1708.71,1924.121,2137.548,2384.389,2658.361,2839.702,2936.114,2872.439,2888.3,3075.638,3408.695,3630.509,3851.064,4257.138,4460.572,5203.213,5478.748,5852.508,6149.347,8.9
1,Medicare/Personal Health Care (Millions of Dollars),State,1,New England,Maine,178.072,218.868,250.607,287.655,298.241,302.079,305.186,344.851,368.479,412.02,439.725,481.736,530.168,586.197,658.482,737.693,816.183,885.101,884.004,899.782,972.857,1080.971,1130.323,1218.812,1343.242,1472.384,1759.715,1918.796,2055.707,2216.957,9.1
1,Medicare/Personal Health Care (Millions of Dollars),State,1,New England,Massachusetts,1141.93,1365.477,1565.698,1771.543,2021.623,2232.459,2264.846,2388.957,2479.585,2841.708,3148.749,3587.75,4095.314,4626.095,5059.671,5604.749,6034.194,6163.798,5941.713,6012.746,6207.28,6739.834,7085.243,7466.954,8080.023,8548.436,9860.861,10570.986,11260.606,12035.831,8.5
1,Medicare/Personal Health Care (Millions of Dollars),State,1,New England,New Hampshire,114.261,141.42,162.343,181.751,182.224,209.423,234.018,253.161,260.563,294.012,326.839,377.523,438.533,478.188,546.357,611.516,673.621,726.464,730.025,719.574,799.745,899.875,947.499,1045.585,1131.071,1213.065,1447.255,1574.545,1716.341,1807.693,10
1,Medicare/Personal Health Care (Millions of Dollars),State,1,New England,Rhode Island,180.984,213.857,233.724,244.553,304.316,334.854,353.231,362.729,376.306,434.515,466.156,526.299,597.557,653.007,708.939,777.951,882.374,956.687,926.994,904.346,928.09,1043.502,1070.455,1108.975,1202.489,1289.1,1511.53,1599.423,1718.991,1829.291,8.3
1,Medicare/Personal Health Care (Millions of Dollars),State,1,New England,Vermont,70.058,79.907,94.721,104.984,96.94,106.215,124.504,129.739,136.066,160.148,167.04,188.906,211.753,235.979,262.252,294.584,314.742,326.717,325.459,345.404,378.116,424.665,446.529,462.873,503.074,549.738,678.231,734.016,783.978,843.392,9
1,Medicare/Personal Health Care (Millions of Dollars),Region,2,Mideast,,8041.375,9476.99,11085.336,12755.953,14566.989,15618.512,16772.446,18004.154,19318.204,21644.7,23411.776,24961.739,26987.066,29819.47,32345.365,35023.399,37352.405,39524.999,40218.685,41189.203,43331.786,47471.131,50130.508,52024.059,55528.106,60167.225,69425.443,74349.951,79794.16,84536.154,8.5
1,Medicare/Personal Health Care (Millions of Dollars),State,2,Mideast,Delaware,110.341,112.069,128.492,153.194,171.475,191.923,204.527,224.384,240.802,277.556,318.139,339.135,324.459,354.321,395.221,424.029,471.379,491.598,519.995,523.897,567.815,649.483,704.24,771.433,894.35,943.646,1099.528,1209.189,1362.279,1439.996,9.3
1,Medicare/Personal Health Care (Millions of Dollars),State,2,Mideast,District of Columbia,189.365,208.121,252.83,293.586,295.217,304.936,296.81,338.351,391.608,432.836,463.292,482.221,527.375,577.167,625.303,655.21,704.343,756.939,794.208,781.874,802.11,788.433,807.095,833.687,902.306,971.193,1034.846,1043.291,1104.403,1171.497,6.5
1,Medicare/Personal Health Care (Millions of Dollars),State,2,Mideast,Maryland,560.021,658.859,784.384,891.936,1036.511,1113.285,1225.559,1402.348,1574.233,1837.964,1993.916,2137.195,2469.115,2686.403,2895.307,3023.863,3190.985,3369.627,3607.929,3806.472,4061.41,4559.919,4889.358,5299.049,5817.516,6311.528,7292.877,7684.081,8344.87,8751.749,9.9
1,Medicare/Personal Health Care (Millions of Dollars),State,2,Mideast,New Jersey,1076.835,1277.794,1568.772,1857.018,2149.961,2323.811,2465.03,2729.838,2882.691,3125.416,3277.642,3682.992,4491.012,4883.745,5225.128,5668.932,5971.494,6481.18,6781.564,7170.852,7619.132,8732.267,9204.046,9186.267,9423.413,10225.485,12104.23,13155.534,14051.989,14938.375,9.5
1,Medicare/Personal Health Care (Millions of Dollars),State,2,Mideast,New York,3370.021,3893.716,4411.632,5000.447,5698.788,5915.902,6444.324,6900.512,7501.128,8445.866,9113.511,9470.099,10566.253,11770.57,12989.253,14218.444,15265.838,16148.768,16329.395,16726.305,17508.634,18890.307,19928.982,20897.23,22653.512,24509.506,27889.448,29885.231,32075.644,34061.245,8.3
1,Medicare/Personal Health Care (Millions of Dollars),State,2,Mideast,Pennsylvania,2734.792,3326.431,3939.225,4559.772,5215.037,5768.654,6136.196,6408.72,6727.742,7525.062,8245.276,8850.098,8608.852,9547.263,10215.153,11032.921,11748.366,12276.886,12185.594,12179.804,12772.685,13850.721,14596.787,15036.394,15837.009,17205.867,20004.516,21372.624,22854.974,24173.293,7.8
1,Medicare/Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,6669.854,8049.072,9281.036,10286.846,11210.662,11980.211,12680.907,13697.243,14126.501,15926.21,17253.33,18696.548,21163.287,22922.193,25566.116,28069.771,29903.053,31383.476,31243.758,31408.935,33050.562,37015.04,39465.846,42370.372,46726.704,50783.88,59172.529,63003.699,68074.979,72761.431,8.6
1,Medicare/Personal Health Care (Millions of Dollars),State,3,Great Lakes,Illinois,1971.553,2301.887,2613.774,2935.983,3293.792,3502.591,3657.275,3820.896,3789.406,4087.961,4591.264,5006.037,5656.876,6180.525,6939.662,7460.113,7917.681,8159.378,8091.504,8192.884,8589.331,9576.085,10208.596,10837.272,11907.972,12919.818,15177.149,16096.053,17286.28,18450.224,8
1,Medicare/Personal Health Care (Millions of Dollars),State,3,Great Lakes,Indiana,650.676,824.355,935.456,1022.005,1280.526,1332.374,1432.714,1551.236,1665.068,1938.689,2126.157,2296.074,2746.215,3004.092,3312.668,3670.986,3870.15,4168.105,4136.247,4037.801,4239.654,4797.518,5081.632,5545.069,6157.328,6711.576,7859.885,8321.395,9071.066,9794.621,9.8
1,Medicare/Personal Health Care (Millions of Dollars),State,3,Great Lakes,Michigan,1716.969,2052.681,2383.21,2679.311,2726.316,2902.954,2907.96,3152.205,3343.577,3895.593,4071.991,4275.675,4813.8,5225.596,5932.875,6644.477,7155.716,7472.55,7440.86,7529.232,7876.062,8910.937,9489.971,10102.494,11151.638,12152.984,14099.144,15090.346,16327.075,17338.074,8.3
1,Medicare/Personal Health Care (Millions of Dollars),State,3,Great Lakes,Ohio,1632.691,2018.088,2356.554,2584.346,2684.422,2979.536,3318.925,3732.091,3798.269,4236.534,4610.807,5171.913,5776.38,6199.803,6847.872,7526.165,7997.78,8432.191,8439.924,8481.845,8974.298,9935.835,10610.573,11453.875,12608.107,13665.868,15754.979,16719.96,18052.101,19325.633,8.9
1,Medicare/Personal Health Care (Millions of Dollars),State,3,Great Lakes,Wisconsin,697.964,852.061,992.041,1065.201,1225.606,1262.756,1364.033,1440.815,1530.182,1767.432,1853.111,1946.849,2170.016,2312.178,2533.039,2768.029,2961.726,3151.25,3135.224,3167.173,3371.218,3794.665,4075.074,4431.662,4901.659,5333.633,6281.371,6775.946,7338.458,7852.879,8.7
1,Medicare/Personal Health Care (Millions of Dollars),Region,4,Plains,,2983.725,3538.48,4099.605,4606.826,4946.772,5218.292,5442.798,5770.678,6015.159,6764.248,7492.09,7880.456,8887.014,9545.414,10490.221,11479.527,12170.07,12829.96,12781.778,13053.243,13832.435,15504.247,16516.271,17610.591,19321.214,21067.179,24711.163,26251.603,27987.748,29768.017,8.3
